,source,target,relationship
535,football,Associated Press,is written by
536,republicans,Associated Press,is written by
537,police,Associated Press,is written by
538,court,Associated Press,is written by
539,technology,Associated Press,is written by
540,biden,Associated Press,is written by
541,vote,Associated Press,is written by
542,Baseball,Associated Press,is written by
543,NFL,Associated Press,is written by
544,golf,Associated Press,is written by
545,trump,Associated Press,is written by
546,suspect,Associated Press,is written by
547,donald,Associated Press,is written by
548,election,Associated Press,is written by
549,tennis,Associated Press,is written by
550,athletics,Associated Press,is written by
551,capitol,Associated Press,is written by
552,Associated Press,SPORTS,covers
553,Associated Press,POLITICS,covers
554,Associated Press,BUSINESS,covers
555,attack,Sara Boboltz,is written by
556,basketball,Sara Boboltz,is written by
557,economy,Sara Boboltz,is written by
558,football,Sara Boboltz,is written by
559,police,Sara Boboltz,is written by
560,technology,Sara Boboltz,is written by
561,Baseball,Sara Boboltz,is written by
562,NFL,Sara Boboltz,is written by
563,golf,Sara Boboltz,is written by
564,suspect,Sara Boboltz,is written by
565,donald,Sara Boboltz,is written by
566,election,Sara Boboltz,is written by
567,tennis,Sara Boboltz,is written by
568,athletics,Sara Boboltz,is written by
569,capitol,Sara Boboltz,is written by
570,Sara Boboltz,SPORTS,covers
571,Sara Boboltz,BUSINESS,covers
572,attack,Liz Skalka,is written by
573,basketball,Liz Skalka,is written by
574,economy,Liz Skalka,is written by
575,democrats,Liz Skalka,is written by
576,football,Liz Skalka,is written by
577,police,Liz Skalka,is written by
578,court,Liz Skalka,is written by
579,technology,Liz Skalka,is written by
580,vote,Liz Skalka,is written by
581,Baseball,Liz Skalka,is written by
582,NFL,Liz Skalka,is written by
583,golf,Liz Skalka,is written by
584,trump,Liz Skalka,is written by
585,suspect,Liz Skalka,is written by
586,donald,Liz Skalka,is written by
587,election,Liz Skalka,is written by
588,charged,Liz Skalka,is written by
589,tennis,Liz Skalka,is written by
590,athletics,Liz Skalka,is written by
591,capitol,Liz Skalka,is written by
592,Liz Skalka,CRIME,covers
593,Liz Skalka,SPORTS,covers
594,Liz Skalka,BUSINESS,covers
595,attack,FARNOUSH AMIRI,is written by
596,basketball,FARNOUSH AMIRI,is written by
597,economy,FARNOUSH AMIRI,is written by
598,democrats,FARNOUSH AMIRI,is written by
599,football,FARNOUSH AMIRI,is written by
600,police,FARNOUSH AMIRI,is written by
601,technology,FARNOUSH AMIRI,is written by
602,biden,FARNOUSH AMIRI,is written by
603,vote,FARNOUSH AMIRI,is written by
604,Baseball,FARNOUSH AMIRI,is written by
605,NFL,FARNOUSH AMIRI,is written by
606,golf,FARNOUSH AMIRI,is written by
607,trump,FARNOUSH AMIRI,is written by
608,suspect,FARNOUSH AMIRI,is written by
609,donald,FARNOUSH AMIRI,is written by
610,election,FARNOUSH AMIRI,is written by
611,charged,FARNOUSH AMIRI,is written by
612,tennis,FARNOUSH AMIRI,is written by
613,athletics,FARNOUSH AMIRI,is written by
614,capitol,FARNOUSH AMIRI,is written by
615,FARNOUSH AMIRI,CRIME,covers
616,FARNOUSH AMIRI,SPORTS,covers
617,FARNOUSH AMIRI,BUSINESS,covers
618,attack,Jonathan Nicholson,is written by
619,basketball,Jonathan Nicholson,is written by
620,economy,Jonathan Nicholson,is written by
621,democrats,Jonathan Nicholson,is written by
622,football,Jonathan Nicholson,is written by
623,police,Jonathan Nicholson,is written by
624,court,Jonathan Nicholson,is written by
625,technology,Jonathan Nicholson,is written by
626,biden,Jonathan Nicholson,is written by
627,vote,Jonathan Nicholson,is written by
628,Baseball,Jonathan Nicholson,is written by
629,NFL,Jonathan Nicholson,is written by
630,golf,Jonathan Nicholson,is written by
631,trump,Jonathan Nicholson,is written by
632,suspect,Jonathan Nicholson,is written by
633,donald,Jonathan Nicholson,is written by
634,election,Jonathan Nicholson,is written by
635,charged,Jonathan Nicholson,is written by
636,tennis,Jonathan Nicholson,is written by
637,athletics,Jonathan Nicholson,is written by
638,capitol,Jonathan Nicholson,is written by
639,Jonathan Nicholson,CRIME,covers
640,Jonathan Nicholson,SPORTS,covers
641,Jonathan Nicholson,BUSINESS,covers
642,attack,Lydia O'Connor,is written by
643,basketball,Lydia O'Connor,is written by
644,economy,Lydia O'Connor,is written by
645,football,Lydia O'Connor,is written by
646,police,Lydia O'Connor,is written by
647,technology,Lydia O'Connor,is written by
648,vote,Lydia O'Connor,is written by
649,Baseball,Lydia O'Connor,is written by
650,NFL,Lydia O'Connor,is written by
651,golf,Lydia O'Connor,is written by
652,trump,Lydia O'Connor,is written by
653,suspect,Lydia O'Connor,is written by
654,donald,Lydia O'Connor,is written by
655,charged,Lydia O'Connor,is written by
656,tennis,Lydia O'Connor,is written by
657,athletics,Lydia O'Connor,is written by
658,capitol,Lydia O'Connor,is written by
659,Lydia O'Connor,CRIME,covers
660,Lydia O'Connor,SPORTS,covers
661,Lydia O'Connor,BUSINESS,covers
662,attack,Ed Mazza,is written by
663,basketball,Ed Mazza,is written by
664,economy,Ed Mazza,is written by
665,football,Ed Mazza,is written by
666,police,Ed Mazza,is written by
667,court,Ed Mazza,is written by
668,technology,Ed Mazza,is written by
669,vote,Ed Mazza,is written by
670,Baseball,Ed Mazza,is written by
671,NFL,Ed Mazza,is written by
672,golf,Ed Mazza,is written by
673,suspect,Ed Mazza,is written by
674,donald,Ed Mazza,is written by
675,election,Ed Mazza,is written by
676,charged,Ed Mazza,is written by
677,tennis,Ed Mazza,is written by
678,Ed Mazza,CRIME,covers
679,Ed Mazza,BUSINESS,covers
680,attack,Howard Fendrich,is written by
681,basketball,Howard Fendrich,is written by
682,economy,Howard Fendrich,is written by
683,democrats,Howard Fendrich,is written by
684,football,Howard Fendrich,is written by
685,republicans,Howard Fendrich,is written by
686,police,Howard Fendrich,is written by
687,court,Howard Fendrich,is written by
688,technology,Howard Fendrich,is written by
689,biden,Howard Fendrich,is written by
690,vote,Howard Fendrich,is written by
691,Baseball,Howard Fendrich,is written by
692,NFL,Howard Fendrich,is written by
693,golf,Howard Fendrich,is written by
694,trump,Howard Fendrich,is written by
695,suspect,Howard Fendrich,is written by
696,donald,Howard Fendrich,is written by
697,election,Howard Fendrich,is written by
698,charged,Howard Fendrich,is written by
699,athletics,Howard Fendrich,is written by
700,capitol,Howard Fendrich,is written by
701,Howard Fendrich,CRIME,covers
702,Howard Fendrich,POLITICS,covers
703,Howard Fendrich,BUSINESS,covers
704,attack,Michael R. Sisak,is written by
705,basketball,Michael R. Sisak,is written by
706,economy,Michael R. Sisak,is written by
707,democrats,Michael R. Sisak,is written by
708,football,Michael R. Sisak,is written by
709,police,Michael R. Sisak,is written by
710,court,Michael R. Sisak,is written by
711,technology,Michael R. Sisak,is written by
712,biden,Michael R. Sisak,is written by
713,vote,Michael R. Sisak,is written by
714,Baseball,Michael R. Sisak,is written by
715,NFL,Michael R. Sisak,is written by
716,golf,Michael R. Sisak,is written by
717,suspect,Michael R. Sisak,is written by
718,donald,Michael R. Sisak,is written by
719,election,Michael R. Sisak,is written by
720,tennis,Michael R. Sisak,is written by
721,athletics,Michael R. Sisak,is written by
